女童,童角是凡指未成年的角色，在生、旦、丑、淨各類都需具備，靈活生動是它的特色。,1620102
卻老(老家婆),三姑六婆，已至中年歷經人事滄桑，動作舉止誇張。在布袋戲中，多少會穿插一些有趣的角色，帶來一些笑料。卻老旦就是屬於這一類的甘草人物。她常飾演媒婆一角，特色是嘴角邊長了一顆有毛的痣，活動的嘴似乎有講不完的話，而額頭上貼了一兩塊紅藥膏，更可看出她經常在街坊鄰居牽紅線或做和事佬，因操煩而惹來頭疾。,1620701
黲旦,已到中年，頭髮黑白參半的婦女。黲旦是指年紀比白髮旦輕一些、頭髮黑白參半的中年婦女。由於她已歷經人世滄桑，所以在戲中扮演的是較嚴肅、不茍言笑的角色。,1620502
開面旦,一般女性角色，結婚婦女稱「開面旦」或「圓面旦」。,1620604
獨旦,常飾演身世或生活比較非悲苦的中年婦女。,1621102
齊眉旦,前額有瀏海的十七、八歲少女，一張清麗的臉龐，柳眉細目、櫻桃小口、齊眉的瀏海，別緻的女裝配飾，齊眉旦是常居深閨中，雲英未嫁的碧玉閨秀。她走起路來蓮步輕移、婀娜多姿，可說是「窈窕淑女，君子好逑」。,1620206
梅蘭芳旦,仿京劇梅蘭芳造型的少女。梅芳旦和齊眉旦所扮演的角色相近，卻因中國京劇中梅蘭芳這個角色讓許多人為之癡迷，所以布袋戲就模仿雕製了梅芳旦這個角色。,1620308
齊眉旦,前額有瀏海的十七、八歲少女，一張清麗的臉龐，柳眉細目、櫻桃小口、齊眉的瀏海，別緻的女裝配飾，齊眉旦是常居深閨中，雲英未嫁的碧玉閨秀。她走起路來蓮步輕移、婀娜多姿，可說是「窈窕淑女，君子好逑」。,0009
齊眉旦,前額有瀏海的十七、八歲少女，一張清麗的臉龐，柳眉細目、櫻桃小口、齊眉的瀏海，別緻的女裝配飾，齊眉旦是常居深閨中，雲英未嫁的碧玉閨秀。她走起路來蓮步輕移、婀娜多姿，可說是「窈窕淑女，君子好逑」。,0010
齊眉旦,前額有瀏海的十七、八歲少女，一張清麗的臉龐，柳眉細目、櫻桃小口、齊眉的瀏海，別緻的女裝配飾，齊眉旦是常居深閨中，雲英未嫁的碧玉閨秀。她走起路來蓮步輕移、婀娜多姿，可說是「窈窕淑女，君子好逑」。,0015
嫺旦,前額有瀏海的十七、八歲少女，一張清麗的臉龐，柳眉細目、櫻桃小口、齊眉的瀏海，別緻的女裝配飾，齊眉旦是常居深閨中，雲英未嫁的碧玉閨秀。她走起路來蓮步輕移、婀娜多姿，可說是「窈窕淑女，君子好逑」。,0026
